pickup_borough,pickup_zone,total_trips,total_revenue,average_total_amount,median_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,average_tip_percentage,trip_share_percentage
Brooklyn,Brooklyn Heights,1168,38973.92,33.36808219178082,30.6,66.72537671232875,23.149029680365295,59.856510545643204,18.04466382242477,0.04072474708293309
Brooklyn,Fort Greene,1049,29246.33,27.88020019065777,24.3,4.415662535748331,22.856609469335876,14.462369227752031,10.392793484802839,0.03657556480307946
Brooklyn,Williamsburg (North Side),953,27183.11,28.523725078698845,26.96,4.34788037775446,18.492794683455756,20.79009364888606,12.277722980745407,0.03322832531681098
Brooklyn,Boerum Hill,925,27905.08,30.167654054054054,26.5,4.980324324324324,24.05171171171171,18.295721778551663,10.858178477484735,0.03225204713331602
Brooklyn,Crown Heights North,916,28785.78,31.425524017467247,28.0,6.1207096069869,37.485061863173215,15.581833394307779,2.5957298993723312,0.031938243431478344
Brooklyn,Park Slope,890,27417.46,30.806134831460675,26.0,5.245505617977528,24.864606741573034,18.669705094485508,10.739029704012907,0.031031699403947302
Queens,Baisley Park,859,64117.659999999996,74.6422118742724,85.8,12.656472642607683,36.29858362436942,36.41353013955766,10.797778699177126,0.029950819986506443
Manhattan,Battery Park,846,27338.13,32.314574468085105,32.06,4.517340425531915,19.858530338849487,9.45819582544669,15.39936236417907,0.029497547972740918
Brooklyn,East New York,839,29148.29,34.74170441001192,30.0,7.634755661501789,42.298708780294,8.415809508610845,0.37928965332287046,0.029253478426867176
Brooklyn,Williamsburg (South Side),792,23975.73,30.272386363636365,27.494999999999997,4.419204545454545,19.428577441077444,26.924266354836796,10.965955048560065,0.027614725761714906
Queens,Jackson Heights,704,24268.95,34.47294034090909,29.0,5.011434659090909,20.961292613636363,46.795246269512404,6.0460851468723344,0.024546422899302135
Unknown,Outside of NYC,700,57412.07,82.01724285714286,63.665,9.462471428571428,25.306309523809524,517.8030201192155,12.125059994431194,0.024406954587374283
Queens,Woodside,655,22899.21,34.96062595419847,25.0,4.1327480916030535,17.780330788804072,30.55711459085617,7.245729815378941,0.022837936078185933
