dropoff_borough,dropoff_zone,total_trips,total_revenue,average_total_amount,median_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,average_tip_percentage,trip_share_percentage
Manhattan,UN/Turtle Bay South,43383,1034273.39,23.840522554917825,18.96,2.4965972846506697,12.436266125748181,16.537294992408487,21.382992118118004,1.5126384440915122
Manhattan,TriBeCa/Civic Center,43008,1215004.0,28.250651041666668,23.1,3.564435221354167,16.7591316344246,14.652593495132313,20.946392151964567,1.4995632898482758
Manhattan,Flatiron,42163,988570.26,23.44639280886085,18.1,2.4655591395299195,12.308503506233745,17.182601715427754,22.962642327068675,1.470100608953517
Manhattan,Kips Bay,37957,813923.46,21.443303211528836,18.2,2.1913051611033536,11.865319967331454,15.253318075031082,20.641492346828866,1.3234496789613794
Manhattan,Garment District,37582,940497.63,25.025214996540896,18.7,2.55611276675004,14.49006882727547,20.03207991068818,19.56163099590401,1.3103745247181433
Manhattan,Greenwich Village North,37578,896626.39,23.860407419234658,19.1,3.501247272340199,13.187264711622047,17.97957686254474,23.09391410786717,1.3102350564062153
Manhattan,East Harlem South,34552,787285.45,22.78552471636953,18.78,2.707084105116925,13.049456374932468,14.586448433980804,18.238271921101237,1.2047272784327945
Manhattan,Central Park,33322,732808.34,21.991727387311684,18.75,4.63128953844307,12.638369545645519,16.535861981071076,21.2765079589696,1.1618407725149797
Queens,LaGuardia Airport,30085,2016756.94,67.03529798903108,67.54,12.939801894631877,27.44116337045039,24.281687710407457,21.064494555180296,1.0489760410873648
Manhattan,Clinton West,28845,673059.9,23.333676547061884,19.32,3.5387789911596466,13.565801120933726,15.720349959356064,20.33734377814604,1.0057408643897303
Manhattan,Manhattan Valley,28048,700092.61,24.960518040501995,20.3,3.0420158300057047,13.47099555523864,13.206245380330317,21.168450647553108,0.9779518032381055
Queens,JFK Airport,27416,2264413.37,82.59459330318063,90.0,15.241228114969362,41.628131991051454,80.99011591522657,15.288115921935441,0.9559158099535047
Manhattan,Greenwich Village South,26568,619087.2,23.301987353206865,19.32,2.40485697079193,13.439057638261568,17.203427996388868,21.99498809777904,0.9263485278247999
Manhattan,Meatpacking/West Village West,26476,640262.97,24.182768167396887,19.7,2.6151869617767036,13.76875157375233,16.480475386858725,22.887136448218655,0.9231407566504592
Manhattan,Lower East Side,25919,711988.57,27.469754620162814,22.25,3.2098533894054557,16.12653973275718,17.40163586292451,19.758787103938566,0.9037197942145057
Manhattan,Little Italy/NoLiTa,24162,622535.81,25.765077808128467,21.45,2.8316948100322823,15.797636095245979,18.071064902988073,20.37591845693849,0.8424583382001962
Manhattan,SoHo,21611,545954.88,25.26282356207487,20.64,6.177899680718153,15.17328675211698,16.25578190975982,21.286836751581884,0.753512422268208
Manhattan,Morningside Heights,20851,582141.59,27.91912090547216,22.65,5.144904800728982,15.422804661646925,12.733007544198582,19.470038460793667,0.727013443001916
Manhattan,Battery Park City,19491,653267.01,33.516341388333075,29.4,9.937225899132933,18.696692490551193,11.663375532923249,19.34741688162043,0.679594216946446
Manhattan,Financial District North,18814,666810.96,35.442274901668966,30.0,5.345796215584139,19.737321498175117,16.114703653241147,18.745482667524936,0.6559892051526568
Manhattan,East Harlem North,18200,451772.77,24.82267967032967,21.0,3.307437912087912,14.037947802197802,12.994611255847571,14.928191509729869,0.6345808192717313
Manhattan,Central Harlem,16468,485253.19,29.46643126062667,24.9,4.064550036434296,16.783831268723183,12.24102150447092,16.72169066789362,0.574191040206971
Unknown,Unknown,14125,379501.02,26.867328849557524,19.65,2.899771327433628,13.972733923303835,66.47590376427985,20.517455044583834,0.492497476495231
Manhattan,Hudson Sq,13597,357455.89,26.289320438331988,20.16,3.13283959696992,14.95239268466083,15.809913955554157,21.80410325290607,0.4740876593207545
Manhattan,Two Bridges/Seward Park,13271,380708.98,28.687286564689924,24.15,3.7524534699721195,16.464826815361818,11.971013472324472,17.025612455682737,0.46272099189863447
Manhattan,World Trade Center,12122,436814.81,36.03487955782874,30.6,5.511374360666557,20.476656767310125,13.604456178139172,18.096211674476976,0.42265871929735865
Manhattan,Stuy Town/Peter Cooper Village,11861,305783.04,25.780544642104374,20.52,3.895757524660653,13.49032122080769,12.465732633593698,21.714943340692212,0.41355841194406623
Manhattan,Alphabet City,11030,277828.81,25.188468721668176,21.36,2.950499546690843,14.141101541251134,13.63055483161142,19.35306611518138,0.3845838701410548
Unknown,Outside of NYC,10786,1316052.51,122.01488132764695,103.89,19.261215464491006,36.621033438407814,41.593857796265446,143.48139434827135,0.37607630311345575
Manhattan,Central Harlem North,10508,356674.09,33.94309954320518,30.7,5.305065664255805,20.143200418728586,11.22491655396655,12.369653507945994,0.36638325543447
Manhattan,Bloomingdale,10170,264436.12,26.00158505408063,21.36,4.834515240904621,14.05817764667322,11.9140765749103,20.690013923162656,0.3545981830765663
Manhattan,Financial District South,9243,325502.02,35.216057557070215,32.76,5.490339716542248,19.70435825309243,10.90023692183581,16.72251089584833,0.3222764017872864
Manhattan,Washington Heights South,8161,339954.15,41.65594289915452,38.86,7.354222521749786,22.34282359188008,9.628344626788158,13.389013329370869,0.28455022341080216
Queens,Astoria,7331,273528.34,37.31119083344701,33.9,5.587386441140363,22.254469603964896,12.212314981040226,15.650157037227853,0.25561054868577265
Manhattan,Seaport,7252,253006.62,34.88784059569774,29.66,5.1961555432984,20.02283048354477,14.13573511442581,18.576376159300885,0.2528560495251976
Manhattan,Chinatown,7009,199935.1,28.52548152375517,24.1,3.677658724497075,17.927814238835783,11.983752244452818,17.089474860485417,0.24438334957558047
Brooklyn,Brooklyn Heights,6984,318219.74,45.564109392898054,40.31,7.431208476517755,25.367246563573882,17.128769986079902,20.293687630976816,0.24351167262603143
Brooklyn,Park Slope,6898,408797.65,59.26321397506524,56.75,9.996082922586256,33.583480719049,8.824346652549421,18.753575289677322,0.24051310391958258
EWR,Newark Airport,6804,870873.98,127.99441211052321,124.62,18.439450323339212,36.871734763864396,25.727284791847136,16.164278172768405,0.237235598589278
Queens,Long Island City/Hunters Point,6555,261023.67,39.82054462242563,34.69,5.7476384439359265,21.240549199084665,18.293962565831478,19.253982889056367,0.22855369617176918
Manhattan,Hamilton Heights,6242,235952.11,37.800722524831784,34.59,6.126300865107337,21.001663462565418,11.51068243360764,14.330802190584835,0.21764030076341467
Brooklyn,Williamsburg (North Side),5990,291820.83,48.71800166944909,45.24,7.757956594323874,26.81279076238175,10.845078478658806,19.12443263416833,0.20885379711195995
Brooklyn,Greenpoint,5586,256378.45,45.896607590404585,41.5,7.100665950590763,24.230707721685167,7.88141868130301,20.14326481434064,0.1947674976072468
Brooklyn,Williamsburg (South Side),5295,233098.43,44.02236638338054,39.7,6.887204910292729,24.661850802644004,10.516015568515082,17.867903109822446,0.18462117791449548
Manhattan,Washington Heights North,4794,242205.53,50.522638715060495,47.4,9.305488110137672,25.126599221248785,12.213128805530506,15.136204995420554,0.16715277184553187
Queens,Sunnyside,4755,173895.55,36.57109358569926,33.4,5.576067297581493,21.54794251664914,16.831875010863012,14.460147654505164,0.1657929558042353
Brooklyn,Boerum Hill,4308,224037.34,52.00495357474466,47.04,8.848017641597028,30.41921618693903,7.542881642019084,17.951529073914863,0.15020737194629774
Brooklyn,Crown Heights North,4093,212541.11,51.927952602003415,54.6,9.00495235768385,34.84566332763254,8.470943686327283,13.053148044362809,0.14271095018017563
Manhattan,Manhattanville,3882,119215.27,30.709755280783103,27.22,4.610012879958784,17.539859179117293,12.650836164297946,14.29770915886309,0.1353539967259814
Queens,Steinway,3749,155570.78,41.49660709522539,39.87,6.51458522272606,22.71115408553392,11.495366627482827,15.63060878191967,0.13071667535438028
Brooklyn,Clinton Hill,3623,188693.71,52.08217223295611,52.4,8.778103781396632,30.941728769896034,7.6856161584555664,17.60867629856268,0.1263234235286529
Queens,Jackson Heights,3573,145538.25,40.732787573467675,40.2,6.414903442485307,23.515915663774607,12.21141670905654,11.913405002168647,0.12458006962955473
Queens,Forest Hills,3543,163339.14,46.10193056731584,44.4,7.9661078182331355,24.816868943456583,7.500103476126213,13.153040965132977,0.12353405729009584
Brooklyn,Downtown Brooklyn/MetroTech,3474,162655.58,46.82083477259643,41.4,8.001724237190558,27.5214881980426,20.52739727984483,16.324584111533724,0.12112822890934037
Brooklyn,Fort Greene,3407,161618.37,47.43714998532433,43.05,7.7719812151452885,28.824782310928484,8.049763964645724,17.381560485487444,0.11879213468454883
Brooklyn,DUMBO/Vinegar Hill,3402,140687.12,41.35423868312757,37.3,6.494817754262199,24.10688810503625,8.932674718592715,18.27839754888903,0.118617799294639
Brooklyn,East Williamsburg,3157,148763.01,47.12163763066202,43.7,7.734554957237885,25.339832119100414,13.254344513363346,17.13361949909494,0.110075365189058
Brooklyn,Bedford,2851,146137.31,51.258263767099265,51.66,8.688526832690284,33.059938033438556,8.428016832039162,12.985928127807396,0.09940603932657725
Queens,South Ozone Park,2710,97609.34,36.01820664206642,27.25,5.863169741697417,17.9009901599016,43.48592485119114,9.074455988662436,0.09448978133112045
Queens,Old Astoria,2696,105238.82,39.035170623145405,34.98,6.03651706231454,22.533376607319486,9.375885648844505,15.924010809076666,0.09400164223937295
Brooklyn,Bushwick South,2645,128579.89,48.612434782608695,49.51,8.096986767485822,31.07476370510397,10.962192636555558,14.41883834579911,0.09222342126229283
Brooklyn,Prospect Heights,2476,136005.66,54.92958804523425,56.64,8.946946688206785,33.560669089929995,7.789655989392331,18.837279471865386,0.08633088508334104
Queens,Baisley Park,2450,76245.22,31.120497959183673,24.125,5.219914285714286,16.034843537414968,17.087733105542,11.11222535579443,0.08542434105580998
Brooklyn,Stuyvesant Heights,2305,111964.3,48.574533622559656,51.4,8.046169197396962,32.65712942877802,8.00738168240169,13.850826696983637,0.08036861474842531
Brooklyn,Flatbush/Ditmas Park,2284,143998.86,63.04678633975481,67.56,11.832140980735552,37.783158201984826,9.89865514845678,12.726712262622511,0.07963640611080408
Brooklyn,Carroll Gardens,2213,127861.22,57.77732489832806,50.76,9.975661997288748,28.57235276397048,7.004515757891314,20.710811290337976,0.07716084357408469
Queens,Long Island City/Queens Plaza,2172,77788.78,35.81435543278084,31.865000000000002,5.225883977900553,21.20920042971148,10.575824932916372,15.969384873288341,0.0757312933768242
Brooklyn,Prospect-Lefferts Gardens,2166,115628.35,53.38335641735919,56.65,9.420697137580794,36.86286549707602,8.598861183168891,11.625909946202576,0.07552209090893243
Queens,Woodside,2003,75817.16,37.85180229655517,34.02,6.152106839740389,21.414952571143285,14.96860926249063,12.52637007355046,0.06983875719787241
Manhattan,Inwood,1875,97976.18,52.253962666666666,49.94,10.194170666666666,25.021955555555554,7.818910027189453,13.509369783150248,0.06537577121618111
Brooklyn,Cobble Hill,1815,92206.5,50.80247933884298,44.88,8.513101928374656,27.31892561983471,7.393381377523967,19.769333866757556,0.06328374653726332
Queens,Flushing,1729,77986.18,45.10478889531521,43.51,8.073175245806825,23.70608251397725,9.504570752891244,10.167942283975663,0.060285177830814475
Brooklyn,Bay Ridge,1722,120010.9,69.69274099883856,71.21000000000001,14.041817653890824,35.19904181184669,7.706876918071337,12.72789500737504,0.060041108284940733
Brooklyn,Bushwick North,1715,85005.22,49.56572594752187,50.6,8.213119533527697,29.331516034985423,8.476959474129059,16.43033313460876,0.059797038739067
Manhattan,Roosevelt Island,1681,73810.56,43.90872099940511,37.87,6.697358715050565,27.083025976601228,8.918404266107542,17.530666118283328,0.05861155808768024
Queens,Elmhurst,1672,69585.39,41.618056220095696,42.7,7.359443779904306,24.967145135566188,10.595842494000221,7.803174478157203,0.058297754385842566
Queens,Jamaica,1641,62740.02,38.23279707495429,34.75,7.149427178549664,23.75070079219988,16.83202840425882,6.1797184432329555,0.05721687496840171
Brooklyn,East New York,1564,60682.8,38.7997442455243,35.95,7.921342710997442,30.530392156862746,6.627492527620911,3.310161938091656,0.05453210996379054
Bronx,Mott Haven/Port Morris,1542,60173.25,39.02285992217899,34.05,6.6964721141374834,22.622308690012968,8.364542818608978,8.200688844956556,0.05376503424818735
Queens,Ridgewood,1486,73685.68,49.58659488559892,50.35,8.386305518169582,29.108838043965903,7.859682663434833,14.904105295671712,0.0518124778811974
Brooklyn,Crown Heights South,1360,72506.46,53.31357352941177,56.35,9.524433823529412,37.1703431372549,6.4584980905331255,10.87186055732694,0.04741922605547003
Manhattan,Battery Park,1347,41324.96,30.6792576095026,31.08,4.35362286562732,19.264142538975502,15.316240648667865,14.34303029996496,0.04696595404170451
Brooklyn,Canarsie,1273,56698.97,44.5396465043205,43.35,9.343275726630008,30.91995286724273,6.857179854858637,3.7742372501697052,0.04438579027103923
Queens,Springfield Gardens South,1244,37198.6,29.9024115755627,23.95,5.326647909967846,14.90058949624866,13.881293401437471,7.396720096578737,0.0433746450095623
Queens,East Elmhurst,1239,51041.31,41.19556900726392,44.51,6.526481033091203,18.846758138283562,38.13087476974869,16.45521226552884,0.04320030961965248
Brooklyn,South Williamsburg,1235,56244.15,45.54182186234818,43.4,7.770955465587044,30.009419703103912,7.517855848690269,6.200051808173816,0.043060841307724626
Brooklyn,Sunset Park West,1211,77901.75,64.32844756399669,59.3,12.497266721717589,33.75037159372419,5.902924234417612,13.305301212948141,0.04222403143615751
Queens,Richmond Hill,1150,45294.05,39.38613043478261,34.925,6.9374086956521746,23.036942028985507,66.0160445862001,6.870179055439764,0.04009713967925775
Bronx,Spuyten Duyvil/Kingsbridge,1090,73396.61,67.33633944954128,61.39,12.690678899082569,29.77960244648318,16.721756957031612,14.382062907298181,0.03800511500033995
Brooklyn,Windsor Terrace,1063,74061.93,69.67255879586077,65.45,12.853612417685794,33.09714644089056,6.129697004974238,18.814643846476894,0.037063703894826945
Queens,Briarwood/Jamaica Hills,1041,39615.69,38.05541786743516,35.15,7.212718539865514,21.191002241434518,11.177271007807414,6.9040448273627675,0.03629662817922375
Queens,Rego Park,1002,44731.13,44.64184630738523,45.05,7.828083832335329,25.42370259481038,22.534812574960917,9.609982150034147,0.03493681213792719
Bronx,Riverdale/North Riverdale/Fieldston,994,74768.2,75.2195171026157,68.915,14.492816901408451,32.182042253521125,5.417785829096732,15.372372038856465,0.034657875514071484
Queens,Queensbridge/Ravenswood,963,29356.97,30.484911734164072,28.34,4.427154724818276,21.159103496019384,36.13190825681538,11.031486153437159,0.03357699609663062
Bronx,East Concourse/Concourse Village,932,44294.8,47.52660944206009,43.9,8.860139484978541,30.54860515021459,10.23759208359568,6.074477820795327,0.03249611667918976
Queens,Saint Albans,909,33595.1,36.95830583058306,33.2,7.443949394939494,26.416318298496517,6.749662865531134,5.300835807256136,0.03169417388560461
Queens,Maspeth,898,40506.21,45.10713808463252,44.64,8.053073496659243,23.25161469933185,13.809665340973247,11.421690270851176,0.031310636027803006
Queens,Kew Gardens,897,38535.95,42.96092530657748,38.77,7.470066889632107,23.36044221479004,38.07438935870619,9.85199687736678,0.031275768949821044
Brooklyn,East Flatbush/Remsen Village,893,41270.46,46.215520716685326,48.25,9.205162374020155,35.719279581933556,6.449674759635519,5.413354393050398,0.031136300637893195
Brooklyn,Borough Park,880,59302.76,67.3895,74.55,13.962454545454545,42.67988636363636,8.258510628234982,5.390433539447132,0.030683028624127667
Brooklyn,Red Hook,860,48777.4,56.71790697674419,51.185,10.028465116279069,31.634011627906975,11.795899343120647,15.236982147449723,0.0299856870644884
