pickup_borough,pickup_zone,dropoff_borough,dropoff_zone,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile
Manhattan,Meatpacking/West Village West,Manhattan,Upper West Side North,224,7826.75,34.940848214285715,4.8680803571428575,20.48110119047619,7.207216663459785
Manhattan,Union Sq,Brooklyn,Brooklyn Heights,223,8058.48,36.136681614349776,4.764843049327354,23.171973094170404,7.743822796890126
Manhattan,Financial District North,Manhattan,SoHo,223,4615.49,20.69726457399103,1.6892825112107623,12.79745889387145,12.994776432576836
Manhattan,Sutton Place/Turtle Bay North,Manhattan,Financial District North,223,7769.79,34.842107623318384,5.555964125560538,18.50306427503737,7.1517869739825315
Manhattan,Midtown North,Queens,Astoria,223,7214.61,32.35251121076233,3.9843497757847532,22.50149476831091,8.197712620200527
Manhattan,Little Italy/NoLiTa,Manhattan,Yorkville West,222,8174.89,36.82382882882883,5.410945945945946,22.930105105105106,6.874906967753191
Manhattan,Greenwich Village South,Manhattan,Yorkville East,222,8045.38,36.24045045045045,5.209144144144145,22.857132132132133,6.989110812090489
Manhattan,Central Park,Manhattan,Meatpacking/West Village West,221,7580.13,34.29923076923077,4.431447963800905,24.072775263951733,7.926325549570321
Manhattan,Garment District,Manhattan,Hudson Sq,221,5010.41,22.67153846153846,2.375972850678733,14.164932126696831,9.632328604835072
Manhattan,World Trade Center,Manhattan,Midtown North,221,8614.68,38.98045248868778,5.526153846153846,27.42134238310709,7.164420915161218
Manhattan,Times Sq/Theatre District,Manhattan,Stuy Town/Peter Cooper Village,221,5810.97,26.29398190045249,2.697737556561086,17.828506787330316,9.835464502846108
Manhattan,Greenwich Village South,Manhattan,Seaport,221,4406.91,19.94076923076923,1.789049773755656,11.460935143288085,11.424701005023136
Manhattan,Manhattan Valley,Manhattan,Yorkville East,220,5372.91,24.42231818181818,2.473045454545455,15.415606060606061,9.945526231938317
Manhattan,Financial District North,Manhattan,Kips Bay,220,6317.49,28.715863636363636,4.186681818181818,14.308939393939394,6.918223683361716
Queens,East Elmhurst,Manhattan,East Chelsea,220,16264.77,73.93077272727272,10.119772727272727,32.855909090909094,7.377549898896185
Manhattan,Central Harlem North,Manhattan,East Harlem North,220,3223.75,14.653409090909092,1.3932272727272728,10.210227272727273,12.338053290399394
Manhattan,Greenwich Village South,Manhattan,Chinatown,220,3950.13,17.955136363636363,1.3029090909090908,10.60378787878788,14.634701747080705
Manhattan,SoHo,Manhattan,Hudson Sq,220,3201.03,14.550136363636364,0.6065909090909091,5.080303030303031,55.372572791855255
Manhattan,Clinton West,Manhattan,Union Sq,219,5120.15,23.379680365296803,2.3773972602739724,15.599695585996956,10.009153374415686
Manhattan,Upper West Side South,Manhattan,Washington Heights North,219,8134.39,37.14333333333334,6.368447488584475,18.609893455098934,5.882645581149904
Queens,East Elmhurst,Manhattan,Lenox Hill West,219,13925.84,63.58831050228311,8.913196347031963,22.72009132420091,7.151279279331417
Manhattan,Meatpacking/West Village West,Manhattan,Lenox Hill West,219,7564.24,34.53990867579908,4.604748858447488,24.663089802130894,7.628612150217561
Manhattan,Midtown North,Manhattan,Hudson Sq,218,6687.7,30.677522935779816,3.544678899082569,22.531804281345565,8.734604363357295
Manhattan,Two Bridges/Seward Park,Manhattan,East Village,218,3931.65,18.035091743119267,1.110091743119266,8.238532110091743,30.473887451084085
Manhattan,Lenox Hill East,Manhattan,Two Bridges/Seward Park,218,6250.64,28.672660550458716,4.493073394495413,14.527752293577983,6.419094825956018
Manhattan,Lincoln Square East,Manhattan,Lower East Side,218,8392.65,38.49839449541284,5.200963302752293,27.840366972477064,7.504348496907637
Manhattan,Manhattan Valley,Manhattan,West Chelsea/Hudson Yards,218,6340.59,29.085275229357798,4.317935779816514,14.879357798165136,6.8158809830272515
Queens,LaGuardia Airport,Brooklyn,Prospect-Lefferts Gardens,217,15815.04,72.88036866359447,12.572027649769586,40.24815668202765,5.838907618761579
Manhattan,East Chelsea,Manhattan,Seaport,217,7180.98,33.092073732718895,3.980414746543779,22.30867895545315,8.629942157666406
Manhattan,Midtown South,Manhattan,Financial District South,217,7279.2699999999995,33.54502304147465,5.133271889400922,18.494009216589863,6.5608127218522565
Manhattan,Kips Bay,Manhattan,Upper West Side North,217,7734.7300000000005,35.64391705069124,4.639447004608295,25.100460829493088,7.7229058245378335
Manhattan,West Chelsea/Hudson Yards,Queens,JFK Airport,217,20518.62,94.5558525345622,18.286175115207374,58.06597542242703,5.47922522328502
Manhattan,Lincoln Square West,Manhattan,TriBeCa/Civic Center,216,7522.05,34.824305555555554,4.893055555555556,22.53695987654321,7.12500695907242
Manhattan,Upper West Side North,Manhattan,Washington Heights North,216,7202.72,33.345925925925926,5.764722222222223,16.713966049382716,5.798454092505244
