pickup_day_of_week,pickup_day_name,pickup_hour,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration
1,Tuesday,19,28275,770247.52,27.24129160035367,2.993101679929266,12.777381078691423
1,Tuesday,20,25341,666918.35,26.31775975691567,3.2128526893177063,12.635531352353892
1,Tuesday,21,26366,697250.95,26.44507888947887,3.307845331108245,12.884376975397608
1,Tuesday,22,19584,550203.93,28.094563419117648,3.701670751633987,13.200784654139433
1,Tuesday,23,11150,353391.22,31.6942798206278,4.577783856502243,14.223264573991031
2,Wednesday,0,6366,221994.66,34.87192271442036,5.323859566446749,14.837870457639543
2,Wednesday,1,2541,85308.65,33.572865013774106,5.186619441164896,14.02578381214745
2,Wednesday,2,1564,50763.34,32.45737851662404,4.951521739130435,13.467881500426257
2,Wednesday,3,1051,40665.49,38.69218839200761,6.307183634633683,14.878005074532192
2,Wednesday,4,1199,55247.36,46.07786488740617,7.821259382819016,18.219293855991104
2,Wednesday,5,3080,115961.04,37.64968831168831,6.352529220779221,17.340616883116883
2,Wednesday,6,7680,218684.21,28.474506510416667,4.3420533854166665,15.694789496527779
2,Wednesday,7,17440,438322.48,25.133169724770642,5.275022362385321,14.863897171253823
2,Wednesday,8,24130,597411.14,24.75802486531289,5.76375300455864,15.515720403370631
2,Wednesday,9,24624,631191.26,25.633173326835607,2.8698647660818715,15.943033219623132
2,Wednesday,10,23671,628468.31,26.550137721262306,2.97187233323476,16.5637165026122
2,Wednesday,11,24932,655056.65,26.273730547088082,3.3275766083747795,16.68988582277127
2,Wednesday,12,26864,710755.83,26.45755769803454,5.080352516378797,16.629383809807425
2,Wednesday,13,27525,742446.92,26.973548410535876,3.0997522252497727,16.625426581895244
2,Wednesday,14,29743,818268.42,27.51129408600343,3.717668022728037,17.195036367100382
2,Wednesday,15,30738,850901.32,27.682390526384278,3.226641941570694,17.69822749257163
2,Wednesday,16,30565,930152.13,30.431936201537706,3.288631441190905,17.72561917225585
2,Wednesday,17,34665,983884.27,28.382641569306216,2.8655848838886486,16.130791384201164
2,Wednesday,18,36758,992389.44,26.99791718809511,2.70788508623973,14.297810453960135
2,Wednesday,19,31337,868068.76,27.701080511854997,3.033636276605929,13.5085293210369
2,Wednesday,20,28733,766631.6,26.681223680089094,3.2470278077471897,13.292936112947947
2,Wednesday,21,28033,745848.16,26.606077123390293,3.320069917597118,13.035051546391752
2,Wednesday,22,23127,641766.39,27.74966013750162,3.5796839192286076,13.235816722157363
2,Wednesday,23,14188,430611.35,30.350391175641384,4.2237263884973215,13.950960905929895
3,Thursday,0,5396,175692.96,32.559851742031135,4.893563750926612,14.247408574252532
